Package,Version,Depends,License,DOI,QID,Descr_lang,Descr,License_DOI
a4,1.44.0,"a4Base, a4Preproc, a4Classif, a4Core, a4Reporting",GPL-3,10.18129/B9.BIOC.A4,Q334759,en,attack aircraft family by Douglas,Q63034458
a4Base,1.44.0,"a4Preproc, a4Core",GPL-3,10.18129/B9.BIOC.A4BASE,,,,Q63034458
a4Classif,1.44.0,"a4Core, a4Preproc",GPL-3,10.18129/B9.BIOC.A4CLASSIF,,,,Q63034458
a4Core,1.44.0,NA,GPL-3,10.18129/B9.BIOC.A4CORE,,,,Q63034458
a4Preproc,1.44.0,NA,GPL-3,10.18129/B9.BIOC.A4PREPROC,,,,Q63034458
a4Reporting,1.44.0,NA,GPL-3,10.18129/B9.BIOC.A4REPORTING,,,,Q63034458
ABarray,1.64.0,NA,GPL,10.18129/B9.BIOC.ABARRAY,,,,Q7603
abseqR,1.14.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.ABSEQR,,,,Q63034458
ABSSeq,1.50.0,"R (>= 2.10), methods",GPL (>= 3),10.18129/B9.BIOC.ABSSEQ,Q36094224,en,scientific article,Q27016754
acde,1.26.0,"R(>= 3.3), boot(>= 1.3)",GPL-3,10.18129/B9.BIOC.ACDE,Q100926065,en,professional body,Q63034458
ACE,1.14.0,R (>= 3.4),GPL-2,10.18129/B9.BIOC.ACE,Q128861,en,mammalian protein found in Homo sapiens,Q63002579
aCGH,1.74.0,"R (>= 2.10), cluster, survival, multtest",GPL-2,10.18129/B9.BIOC.ACGH,Q66076988,en,clinical trial,Q63002579
ACME,2.52.0,"R (>= 2.10), Biobase (>= 2.5.5), methods, BiocGenerics",GPL (>= 2),10.18129/B9.BIOC.ACME,Q15753194,en,journal,Q27016752
ADaCGH2,2.36.0,"R (>= 3.2.0), parallel, ff, GLAD",GPL (>= 3),10.18129/B9.BIOC.ADACGH2,Q30758172,en,scientific article,Q27016754
ADAM,1.12.2000,"R(>= 3.5), stats, utils, methods",GPL (>= 2),10.18129/B9.BIOC.ADAM,Q69488,en,empathogen and stimulant,Q27016752
ADAMgui,1.12.2000,"R(>= 3.6), stats, utils, methods, ADAM",GPL (>= 2),10.18129/B9.BIOC.ADAMGUI,,,,Q27016752
adductomicsR,1.12.2000,"R (>= 3.6), adductData, ExperimentHub, AnnotationHub",Artistic-2.0,10.18129/B9.BIOC.ADDUCTOMICSR,,,,Q14624826
ADImpute,1.6.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.ADIMPUTE,,,,Q63034458
adSplit,1.66.0,"R (>= 2.1.0), methods (>= 2.1.0)",GPL (>= 2),10.18129/B9.BIOC.ADSPLIT,Q108545945,en,journal article from 'Journal of Advertising' published in 1988,Q27016752
AffiXcan,1.14.0,"R (>= 3.6), SummarizedExperiment",GPL-3,10.18129/B9.BIOC.AFFIXCAN,,,,Q63034458
