Package,Version,Depends,License,DOI
a4,1.44.0,"a4Base, a4Preproc, a4Classif, a4Core, a4Reporting",GPL-3,10.18129/B9.BIOC.A4
a4Base,1.44.0,"a4Preproc, a4Core",GPL-3,10.18129/B9.BIOC.A4BASE
a4Classif,1.44.0,"a4Core, a4Preproc",GPL-3,10.18129/B9.BIOC.A4CLASSIF
a4Core,1.44.0,NA,GPL-3,10.18129/B9.BIOC.A4CORE
a4Preproc,1.44.0,NA,GPL-3,10.18129/B9.BIOC.A4PREPROC
a4Reporting,1.44.0,NA,GPL-3,10.18129/B9.BIOC.A4REPORTING
ABarray,1.64.0,NA,GPL,10.18129/B9.BIOC.ABARRAY
abseqR,1.14.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.ABSEQR
ABSSeq,1.50.0,"R (>= 2.10), methods",GPL (>= 3),10.18129/B9.BIOC.ABSSEQ
acde,1.26.0,"R(>= 3.3), boot(>= 1.3)",GPL-3,10.18129/B9.BIOC.ACDE
ACE,1.14.0,R (>= 3.4),GPL-2,10.18129/B9.BIOC.ACE
aCGH,1.74.0,"R (>= 2.10), cluster, survival, multtest",GPL-2,10.18129/B9.BIOC.ACGH
ACME,2.52.0,"R (>= 2.10), Biobase (>= 2.5.5), methods, BiocGenerics",GPL (>= 2),10.18129/B9.BIOC.ACME
ADaCGH2,2.36.0,"R (>= 3.2.0), parallel, ff, GLAD",GPL (>= 3),10.18129/B9.BIOC.ADACGH2
ADAM,1.12.0,"R(>= 3.5), stats, utils, methods",GPL (>= 2),10.18129/B9.BIOC.ADAM
ADAMgui,1.12.0,"R(>= 3.6), stats, utils, methods, ADAM",GPL (>= 2),10.18129/B9.BIOC.ADAMGUI
adductomicsR,1.12.0,"R (>= 3.6), adductData, ExperimentHub, AnnotationHub",Artistic-2.0,10.18129/B9.BIOC.ADDUCTOMICSR
ADImpute,1.6.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.ADIMPUTE
adSplit,1.66.0,"R (>= 2.1.0), methods (>= 2.1.0)",GPL (>= 2),10.18129/B9.BIOC.ADSPLIT
AffiXcan,1.14.0,"R (>= 3.6), SummarizedExperiment",GPL-3,10.18129/B9.BIOC.AFFIXCAN
affxparser,1.68.1,R (>= 2.14.0),LGPL (>= 2),10.18129/B9.BIOC.AFFXPARSER
affy,1.74.0,"R (>= 2.8.0), BiocGenerics (>= 0.1.12), Biobase (>= 2.5.5)",LGPL (>= 2.0),10.18129/B9.BIOC.AFFY
affycomp,1.72.0,"R (>= 2.13.0), methods, Biobase (>= 2.3.3)",GPL (>= 2),10.18129/B9.BIOC.AFFYCOMP
AffyCompatible,1.56.0,"R (>= 2.7.0), XML (>= 2.8-1), RCurl (>= 0.8-1), methods",Artistic-2.0,10.18129/B9.BIOC.AFFYCOMPATIBLE
affyContam,1.54.0,"R (>= 2.7.0), tools, methods, utils, Biobase, affy, affydata",Artistic-2.0,10.18129/B9.BIOC.AFFYCONTAM
affycoretools,1.68.1,"Biobase, methods",Artistic-2.0,10.18129/B9.BIOC.AFFYCORETOOLS
affyILM,1.48.0,"R (>= 2.10.0), methods, gcrma",GPL-3,10.18129/B9.BIOC.AFFYILM
affyio,1.66.0,R (>= 2.6.0),LGPL (>= 2),10.18129/B9.BIOC.AFFYIO
affylmGUI,1.70.0,NA,GPL (>= 2),10.18129/B9.BIOC.AFFYLMGUI
affyPLM,1.72.0,"R (>= 2.6.0), BiocGenerics (>= 0.3.2), affy (>= 1.11.0),
Biobase (>= 2.17.8), gcrma, stats, preprocessCore (>= 1.5.1)",GPL (>= 2),10.18129/B9.BIOC.AFFYPLM
AffyRNADegradation,1.42.0,"R (>= 2.9.0), methods, affy",GPL-2,10.18129/B9.BIOC.AFFYRNADEGRADATION
AGDEX,1.44.0,"R (>= 2.10), Biobase, GSEABase",GPL (>= 2),10.18129/B9.BIOC.AGDEX
aggregateBioVar,1.6.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.AGGREGATEBIOVAR
agilp,3.28.0,R (>= 2.14.0),GPL-3,10.18129/B9.BIOC.AGILP
AgiMicroRna,2.46.0,"R (>= 2.10),methods,Biobase,limma,affy (>=
1.22),preprocessCore,affycoretools",GPL-3,10.18129/B9.BIOC.AGIMICRORNA
AIMS,1.28.0,"R (>= 2.10), e1071, Biobase",Artistic-2.0,10.18129/B9.BIOC.AIMS
airpart,1.4.0,R (>= 4.1),GPL-2,10.18129/B9.BIOC.AIRPART
alevinQC,1.12.1,R (>= 4.0),MIT,10.18129/B9.BIOC.ALEVINQC
AllelicImbalance,1.34.0,"R (>= 4.0.0), grid, GenomicRanges (>= 1.31.8),
SummarizedExperiment (>= 0.2.0), GenomicAlignments (>= 1.15.6)",GPL-3,10.18129/B9.BIOC.ALLELICIMBALANCE
AlphaBeta,1.10.0,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.ALPHABETA
alpine,1.22.0,R (>= 3.5.0),GPL (>= 2),10.18129/B9.BIOC.ALPINE
AlpsNMR,3.6.0,"R (>= 4.1), dplyr (>= 0.7.5), future (>= 1.10.0), magrittr (>=
1.5)",MIT,10.18129/B9.BIOC.ALPSNMR
altcdfenvs,2.58.0,"R (>= 2.7), methods, BiocGenerics (>= 0.1.0), S4Vectors (>=
0.9.25), Biobase (>= 2.15.1), affy, makecdfenv, Biostrings,
hypergraph",GPL (>= 2),10.18129/B9.BIOC.ALTCDFENVS
AMARETTO,1.12.0,"R (>= 3.6), impute, doParallel, grDevices, dplyr, methods,
ComplexHeatmap",Apache License (== 2.0),10.18129/B9.BIOC.AMARETTO
AMOUNTAIN,1.22.0,R (>= 3.3.0),GPL (>= 2),10.18129/B9.BIOC.AMOUNTAIN
amplican,1.18.0,"R (>= 3.5.0), methods, BiocGenerics (>= 0.22.0), Biostrings
(>= 2.44.2), data.table (>= 1.10.4-3)",GPL-3,10.18129/B9.BIOC.AMPLICAN
Anaquin,2.20.0,"R (>= 3.3), ggplot2 (>= 2.2.0)",BSD_3_clause,10.18129/B9.BIOC.ANAQUIN
ANCOMBC,1.6.2,NA,Artistic-2.0,10.18129/B9.BIOC.ANCOMBC
AneuFinder,1.24.0,"R (>= 3.5), GenomicRanges, ggplot2, cowplot, AneuFinderData",Artistic-2.0,10.18129/B9.BIOC.ANEUFINDER
ANF,1.18.0,NA,GPL-3,10.18129/B9.BIOC.ANF
animalcules,1.12.0,R (>= 4.0.0),Artistic-2.0,10.18129/B9.BIOC.ANIMALCULES
annaffy,1.68.0,"R (>= 2.5.0), methods, Biobase, BiocManager, GO.db",LGPL,10.18129/B9.BIOC.ANNAFFY
annmap,1.38.0,"R (>= 2.15.0), methods, GenomicRanges",GPL-2,10.18129/B9.BIOC.ANNMAP
annotate,1.74.0,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML",Artistic-2.0,10.18129/B9.BIOC.ANNOTATE
