Package,License,maintainer,DOI,authorItem,Descr_lang,Descr
a4,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.A4,,,
a4Base,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.A4BASE,,,
a4Classif,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.A4CLASSIF,,,
a4Core,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.A4CORE,,,
a4Preproc,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.A4PREPROC,,,
a4Reporting,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.A4REPORTING,,,
ABarray,GPL,Yongming Andrew Sun,10.18129/B9.BIOC.ABARRAY,,,
abseqR,GPL-3,JiaHong Fong,10.18129/B9.BIOC.ABSEQR,,,
ABSSeq,GPL (>= 3),Wentao Yang,10.18129/B9.BIOC.ABSSEQ,Q61944267,en,researcher ORCID ID = 0000-0002-7253-7814
acde,GPL-3,Juan Pablo Acosta,10.18129/B9.BIOC.ACDE,,,
aCGH,GPL-2,Peter Dimitrov,10.18129/B9.BIOC.ACGH,,,
ACME,GPL (>= 2),Sean Davis,10.18129/B9.BIOC.ACME,Q37390205,en,bioinformatician
ADAM,GPL (>= 2),Jose Luiz Rybarczyk Filho,10.18129/B9.BIOC.ADAM,,,
ADAMgui,GPL (>= 2),Jose Luiz Rybarczyk Filho,10.18129/B9.BIOC.ADAMGUI,,,
adductomicsR,Artistic-2.0,Josie Hayes,10.18129/B9.BIOC.ADDUCTOMICSR,Q56425373,en,researcher
ADImpute,GPL-3,Ana Carolina Leote,10.18129/B9.BIOC.ADIMPUTE,,,
adSplit,GPL (>= 2),Claudio Lottaz,10.18129/B9.BIOC.ADSPLIT,,,
AffiXcan,GPL-3,Alessandro Lussana,10.18129/B9.BIOC.AFFIXCAN,,,
affxparser,LGPL (>= 2.1),Kasper Daniel Hansen,10.18129/B9.BIOC.AFFXPARSER,Q30504905,en,researcher
affycomp,GPL (>= 2),Rafael A. Irizarry,10.18129/B9.BIOC.AFFYCOMP,Q39073664,en,American professor of biostatistics
AffyCompatible,Artistic-2.0,Martin Morgan,10.18129/B9.BIOC.AFFYCOMPATIBLE,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
affyContam,Artistic-2.0,V. Carey,10.18129/B9.BIOC.AFFYCONTAM,,,
affycoretools,Artistic-2.0,James W. MacDonald,10.18129/B9.BIOC.AFFYCORETOOLS,,,
affyILM,GPL-3,Myriam Kroll and Fabrice Berger,10.18129/B9.BIOC.AFFYILM,,,
affyio,LGPL (>= 2.1),Ben Bolstad,10.18129/B9.BIOC.AFFYIO,,,
affylmGUI,GPL (>= 2),Gordon Smyth,10.18129/B9.BIOC.AFFYLMGUI,Q37391308,en,researcher
affyPLM,GPL (>= 2),Ben Bolstad,10.18129/B9.BIOC.AFFYPLM,,,
AGDEX,GPL (>= 2),Cuilan lani Gao,10.18129/B9.BIOC.AGDEX,,,
aggregateBioVar,GPL-3,Jason Ratcliff,10.18129/B9.BIOC.AGGREGATEBIOVAR,,,
agilp,GPL-3,Benny Chain,10.18129/B9.BIOC.AGILP,Q56942468,en,researcher
AgiMicroRna,GPL-3,Pedro Lopez-Romero,10.18129/B9.BIOC.AGIMICRORNA,Q90209309,en,researcher
AIMS,Artistic-2.0,Eric R Paquet,10.18129/B9.BIOC.AIMS,,,
airpart,GPL-2,Wancen Mu,10.18129/B9.BIOC.AIRPART,,,
